type,name,description,data type,
artifact,LLEAPP_IP_PAGE_ACCESSES_HISTORY,IP Page Accesses History, ,
artifact,LLEAPP_SYNCED_USERS,Web Synched Users,,
artifact,LLEAPP_METHOD_COUNT_HISTORY,Method Count History, ,
artifact,LLEAPP_URL_BYTES_HISTORY,Url Bytes History, ,
artifact,LLEAPP_APACHE_LOG_HISTORY,Apache Log History,,
artifact,LLEAPP_IP_BYTES_HISTORY,IP Bytes History,,
artifact,LLEAPP_METHOD_BYTES_HISTORY,Method Bytes History,,
artifact,LLEAPP_APT_HISTORY_LOG,APT History Log,, 
artifact,LLEAPP_PROGRAMS_REMOVED,Installed Programs Removed,, 
artifact,LLEAPP_FAILED_LOGINS,Failed Logins,,
artifact,LLEAPP_LOGIN_HISTORY,Login History,, 
artifact,LLEAPP_SUDO_HISTORY,Sudo History,,
artifact,LLEAPP_USER_BASH_HISTORY,User Bash History,, 
artifact,LLEAPP_FAILED_LOGIN_ATTEMPTS,Failed Login Attempts,, 
artifact,LLEAPP_MEDIA_HISTORY,Media History,, 
artifact,LLEAPP_NETWORK_ACTION_PREDICTOR,Network Action Predictor,,
artifact,LLEAPP_OMNIBOX,Omnibox,, 
artifact,LLEAPP_CRONTABS,Crontab,, 
artifact,LLEAPP_LOGIN_LOGOUT,Login/Logout,,
artifact,LLEAPP_DOCKER_CONFIG,Docker Config,,
artifact,LLEAPP_TRASH,Trash,,
artifact,LLEAPP_TIMEZONE,Timezone,, 
artifact,LLEAPP_FILE_SYSTEM_TABLE,File System Table,, 
artifact,LLEAPP_HOSTNAME,Host Name,,
artifact,LLEAPP_GROUP,Group,,
artifact,LLEAPP_MDADM_ARRAYS,Mdadm Arrays,,
artifact,LLEAPP_SHADOW,Shadow File,,
artifact,LLEAPP_USER_INFO,User Information,,
artifact,LLEAPP_USERS,Users,,
artifact,LLEAPP_MOUNTED_DEVICES_TABLE,Mounted Devices Table,,
attribute,LLEAPP_LAST_UPDATED,Date Last Updated,datetime,
attribute,LLEAPP_DELETE_DATE,Deleted  Date,string,
attribute,LLEAPP_NUM_RESOURCES_ACCESSED,Number Resources Accessed,integer,
attribute,LLEAPP_TOTAL_BYTES,Total Bytes,integer,
attribute,LLEAPP_NUMBER_OF_HITS,Number of Hits,integer,
attribute,LLEAPP_NUMBER_OF_MISSES,Number of Misses,integer,
attribute,LLEAPP_MINUTE,Minute,integer,
attribute,LLEAPP_HOUR,Hour,integer,
attribute,LLEAPP_DAY_OF_MONTH,Day of Month,integer,
attribute,LLEAPP_MONTH_OF_YEAR,Month Of Year,integer,
attribute,LLEAPP_BYTES,Bytes,integer,
attribute,LLEAPP_REMOTE_IP_ADDRESS,Remote Ip Address,string,
attribute,LLEAPP_REQUEST,Request,string,
attribute,LLEAPP_STATUS,Status,string,
attribute,LLEAPP_USER_AGENT,User Agent,string,
attribute,LEAPP_USUAGE_TYPE,Usage Type,string,
attribute,LLEAPP_CMD_LINE,Command,string,
attribute,LLEAPP_AUTH_TIMESTAMP,Auth Date/Time,string,
attribute,LLEAPP_PROCESS,Process,string,
attribute,LLEAPP_MESSAGE,Message,string,
attribute,LLEAPP_TERMINAL,Terminal,string,
attribute,LLEAPP_WORKING_DIRECTORY,Working Directory,string,
attribute,LLEAPP_RUN_AS,Run As,string,
attribute,LLEAPP_FIELD,Field,string,
attribute,LLEAPP_OPENED,Opened,String,
attribute,LLEAPP_ORIGIN,Origin,string,
attribute,LEAPP_AGGREGATE_WATCHTIME,Aggregate Watchtime,string,
attribute,LLEAPP_FILL_INTO_EDIT,Fill Into Edit,string,
attribute,LLEAPP_IMAGE_NAME,Image Name,string,
attribute,LLEAPP_CONTAINER_ID,Container Id,string,
attribute,LLEAPP_IMAGE_ID,Image Id,string,
attribute,LLEAPP_OS,OS,string,
attribute,LLEAPP_WORKING_DIRECTORY,Working DIrectory,string,
attribute,LLEAPP_ENTRY_POINT,Entry Point,string,
attribute,LLEAPP_RUNNING,Running,string,
attribute,LLEAPP_MOUNT_ID,Mount Id,string,
attribute,LLEAPP_UPPER_ID,Upper Id,string,
attribute,LLEAPP_LOG_PATH,Log Path,string,
attribute,LLEAPP_EXPOSED_PORTS,Exposed Ports,string,
attribute,LLEAPP_TIMEZONE_NAME,Timezone Name,string,
attribute,LLEAPP_MOUNT_POINT,Mount Point,string,
attribute,LLEAPP_FILE_SYSTEM_TYPE,File System Type,string,
attribute,LLEAPP_MOUNT_OPTIONS,Mounting Options,string,
attribute,LLEAPP_MOUNT_FREQ,Mounting Frequency,string,
attribute,LLEAPP_MOUNT_PASSNO,Mount Passno,string,
attribute,LLEAPP_GID,Gid,string,
attribute,LLEAPP_GROUP_USERS,List of Users,string,
attribute,LLEAPP_ARRAY_NAME,Array Name,string,
attribute,LLEAPP_PASSWD_SALT,Password Salt,string,
attribute,LLEAPP_PASSWD_HASHED,Password Hash,string,
attribute,LLEAPP_PASSWD_ALGORITHM,Password Algorithm,string,
attribute,LLEAPP_UID,Uid,String,
attribute,LLEAPP_GECOS,Gecos,string,
attribute,LLEAPP_HOME_DIRECTORY,Home Directory,string,
attribute,LLEAPP_LOGIN_SHELL,Login Shell,string,
attribute ,LLEAPP_STATE,State,string,
attribute ,LLEAPP_CONTENT,Content,string,
attribute ,LLEAPP_DAY_OF_WEEK,Day of Week,integer,
attribute ,LLEAPP_DATE_LAST_USED,Date Last Used,datetime,
attribute,LLEAPP_CONTENTS,Contents,string,
attribute,LLEAPP_FILE_NAME,File Name,string,
attribute,LLEAPP_GROUP_NAME,Group Name,string,
attribute,LLEAPP_CONTENT_TYPE,Type,string,
